date,沪金,布伦特原油
2019-01-18,285.050000,62.610000
2019-01-21,283.200000,62.810000
2019-01-22,283.250000,61.610000
2019-01-23,283.600000,60.990000
2019-01-24,283.300000,61.190000
2019-01-25,282.900000,61.500000
2019-01-28,285.600000,59.950000
2019-01-29,286.600000,61.160000
2019-01-30,287.550000,61.660000
2019-01-31,287.850000,61.220000
2019-02-01,289.200000,62.850000
2019-02-04,289.200000,62.820000
2019-02-05,289.200000,62.110000
2019-02-06,289.200000,62.550000
2019-02-07,289.200000,61.680000
2019-02-08,289.200000,62.060000
2019-02-11,288.750000,61.580000
2019-02-12,288.850000,62.610000
2019-02-13,288.250000,63.600000
2019-02-14,287.600000,64.560000
2019-02-15,289.600000,66.360000
2019-02-18,290.950000,66.500000
2019-02-19,291.350000,66.440000
2019-02-20,293.350000,67.180000
2019-02-21,291.500000,66.940000
2019-02-22,289.600000,66.910000
2019-02-25,289.300000,64.760000
2019-02-26,289.000000,65.790000
2019-02-27,288.650000,66.470000
2019-02-28,286.850000,66.280000
2019-03-01,285.850000,64.870000
2019-03-04,281.800000,65.550000
2019-03-05,280.800000,65.570000
2019-03-06,282.350000,65.930000
2019-03-07,280.900000,66.220000
2019-03-08,283.550000,65.700000
2019-03-11,284.750000,66.630000
2019-03-12,284.200000,66.820000
2019-03-13,285.650000,67.640000
2019-03-14,285.100000,67.180000
2019-03-15,284.900000,67.020000
2019-03-18,285.200000,67.420000
2019-03-19,285.950000,67.420000
2019-03-20,285.550000,68.300000
2019-03-21,287.400000,67.740000
2019-03-22,286.350000,67.080000
2019-03-25,288.050000,67.300000
2019-03-26,288.300000,68.040000
2019-03-27,288.250000,67.300000
2019-03-28,287.450000,67.310000
2019-03-29,282.000000,67.550000
2019-04-01,282.100000,69.160000
2019-04-02,282.150000,69.570000
2019-04-03,282.900000,69.520000
2019-04-04,282.950000,69.310000
2019-04-05,282.950000,70.480000
2019-04-08,284.150000,71.100000
2019-04-09,284.400000,70.830000
2019-04-10,285.800000,71.570000
2019-04-11,286.150000,70.980000
2019-04-12,283.300000,71.550000
2019-04-15,281.750000,71.300000
2019-04-16,281.500000,71.860000
2019-04-17,280.000000,71.640000
2019-04-18,278.200000,72.010000
2019-04-19,279.500000,72.010000
2019-04-22,279.500000,74.250000
2019-04-23,279.000000,74.360000
2019-04-24,278.850000,74.480000
2019-04-25,280.400000,73.620000
2019-04-26,281.450000,71.130000
2019-04-29,281.300000,71.420000
2019-04-30,281.600000,71.660000
2019-05-01,281.600000,72.050000
2019-05-02,281.600000,70.350000
2019-05-03,281.600000,70.780000
2019-05-06,282.700000,70.980000
2019-05-07,282.400000,69.870000
2019-05-08,283.950000,70.320000
2019-05-09,284.100000,70.320000
2019-05-10,284.450000,70.860000
2019-05-13,289.200000,69.950000
2019-05-14,292.750000,70.990000
2019-05-15,291.250000,71.950000
