日期,yield_10y
2019-09-20,3.098000
2019-09-23,3.100500
2019-09-24,3.120500
2019-09-25,3.115700
2019-09-26,3.138100
2019-09-27,3.148200
2019-09-29,3.143400
2019-09-30,3.141100
2019-10-08,3.106300
2019-10-09,3.108900
2019-10-10,3.128900
2019-10-11,3.156400
2019-10-12,3.171600
2019-10-14,3.164100
2019-10-15,3.166800
2019-10-16,3.169300
2019-10-17,3.156900
2019-10-18,3.187000
2019-10-21,3.219600
2019-10-22,3.219600
2019-10-23,3.212200
2019-10-24,3.219600
2019-10-25,3.237200
2019-10-28,3.292400
2019-10-29,3.302900
2019-10-30,3.312500
2019-10-31,3.288000
2019-11-01,3.275700
2019-11-04,3.295400
2019-11-05,3.245400
2019-11-06,3.255500
2019-11-07,3.273600
2019-11-08,3.276500
2019-11-11,3.246300
2019-11-12,3.255000
2019-11-13,3.237000
2019-11-14,3.255500
2019-11-15,3.235500
2019-11-18,3.199300
2019-11-19,3.174300
2019-11-20,3.174700
2019-11-21,3.174900
2019-11-22,3.174700
2019-11-25,3.187500
2019-11-26,3.167500
2019-11-27,3.170000
2019-11-28,3.165000
2019-11-29,3.165000
2019-12-02,3.206200
2019-12-03,3.174600
2019-12-04,3.175100
2019-12-05,3.177600
2019-12-06,3.175100
2019-12-09,3.190300
2019-12-10,3.177600
2019-12-11,3.170200
2019-12-12,3.165200
2019-12-13,3.182800
2019-12-16,3.185400
2019-12-17,3.213300
2019-12-18,3.213900
2019-12-19,3.213900
2019-12-20,3.180800
2019-12-23,3.166100
2019-12-24,3.153500
2019-12-25,3.146300
2019-12-26,3.113700
2019-12-27,3.129200
2019-12-30,3.132200
2019-12-31,3.136500
2020-01-02,3.148500
2020-01-03,3.142800
2020-01-06,3.135200
2020-01-07,3.137900
2020-01-08,3.133700
2020-01-09,3.118400
2020-01-10,3.081900
2020-01-13,3.084000
2020-01-14,3.099400
2020-01-15,3.089700
2020-01-16,3.091800
2020-01-17,3.083200
2020-01-19,3.078000
2020-01-20,3.077600
2020-01-21,3.033700
2020-01-22,3.028200
2020-01-23,2.993200
2020-02-03,2.823100
2020-02-04,2.855100
2020-02-05,2.844000
2020-02-06,2.839200
2020-02-07,2.802400
2020-02-10,2.787200
2020-02-11,2.834000
2020-02-12,2.833300
2020-02-13,2.820100
2020-02-14,2.863100
2020-02-17,2.892800
2020-02-18,2.866400
2020-02-19,2.877600
2020-02-20,2.885700
2020-02-21,2.847000
2020-02-24,2.812000
2020-02-25,2.822000
2020-02-26,2.797300
2020-02-27,2.770200
2020-02-28,2.737600
2020-03-02,2.742800
2020-03-03,2.747800
2020-03-04,2.673000
2020-03-05,2.682900
2020-03-06,2.628000
2020-03-09,2.520500
2020-03-10,2.613000
2020-03-11,2.607900
2020-03-12,2.637900
2020-03-13,2.675900
2020-03-16,2.675800
2020-03-17,2.713500
2020-03-18,2.713600
2020-03-19,2.729900
2020-03-20,2.681500
2020-03-23,2.631500
2020-03-24,2.628900
2020-03-25,2.628900
2020-03-26,2.594000
2020-03-27,2.609000
2020-03-30,2.614200
2020-03-31,2.589900
2020-04-01,2.555000
2020-04-02,2.585400
2020-04-03,2.596500
2020-04-07,2.511200
2020-04-08,2.482400
2020-04-09,2.522600
2020-04-10,2.540300
2020-04-13,2.565800
2020-04-14,2.559100
2020-04-15,2.545500
2020-04-16,2.527600
2020-04-17,2.559000
2020-04-20,2.592000
2020-04-21,2.579100
2020-04-22,2.556700
2020-04-23,2.522700
2020-04-24,2.510000
2020-04-26,2.520500
2020-04-27,2.534500
2020-04-28,2.525400
2020-04-29,2.500900
2020-04-30,2.538000
2020-05-06,2.580900
2020-05-07,2.629800
2020-05-08,2.620700
2020-05-09,2.640000
2020-05-11,2.669800
2020-05-12,2.660300
2020-05-13,2.707600
2020-05-14,2.698900
2020-05-15,2.682000
2020-05-18,2.725300
2020-05-19,2.727200
2020-05-20,2.690000
2020-05-21,2.685000
2020-05-22,2.617600
2020-05-25,2.685200
2020-05-26,2.740200
2020-05-27,2.752700
2020-05-28,2.720100
2020-05-29,2.705300
2020-06-01,2.725300
2020-06-02,2.785200
2020-06-03,2.790100
2020-06-04,2.830100
2020-06-05,2.847500
2020-06-08,2.810100
2020-06-09,2.803100
2020-06-10,2.820100
2020-06-11,2.770100
2020-06-12,2.745100
2020-06-15,2.787800
2020-06-16,2.840200
2020-06-17,2.880200
2020-06-18,2.852700
2020-06-19,2.875200
2020-06-22,2.915300
2020-06-23,2.912700
2020-06-24,2.861400
2020-06-28,2.840400
2020-06-29,2.850400
2020-06-30,2.823000
2020-07-01,2.845600
2020-07-02,2.858400
2020-07-03,2.897400
2020-07-06,2.995900
2020-07-07,3.015800
2020-07-08,3.063200
2020-07-09,3.080900
2020-07-10,3.030500
2020-07-13,3.055700
2020-07-14,3.005700
2020-07-15,2.955900
2020-07-16,2.945900
2020-07-17,2.950700
2020-07-20,2.931100
2020-07-21,2.901100
2020-07-22,2.886100
2020-07-23,2.906400
2020-07-24,2.861200
2020-07-27,2.879100
2020-07-28,2.921400
2020-07-29,2.941500
2020-07-30,2.936400
2020-07-31,2.966400
2020-08-03,2.946600
2020-08-04,2.936500
2020-08-05,2.959200
2020-08-06,2.981600
2020-08-07,2.991800
2020-08-10,2.954300
2020-08-11,2.954400
2020-08-12,2.962000
2020-08-13,2.955500
2020-08-14,2.936900
2020-08-17,2.942100
2020-08-18,2.977100
2020-08-19,2.992100
2020-08-20,2.997300
2020-08-21,2.982300
2020-08-24,2.999800
2020-08-25,3.042400
2020-08-26,3.051100
2020-08-27,3.059900
2020-08-28,3.067200
2020-08-31,3.017700
2020-09-01,3.047800
2020-09-02,3.102700
2020-09-03,3.105100
2020-09-04,3.122800
2020-09-07,3.145400
2020-09-08,3.123000
2020-09-09,3.080500
2020-09-10,3.083300
2020-09-11,3.134600
2020-09-14,3.153200
2020-09-15,3.108300
2020-09-16,3.126000
2020-09-17,3.133400
2020-09-18,3.116200
2020-09-21,3.099900
2020-09-22,3.086300
2020-09-23,3.089000
2020-09-24,3.084000
2020-09-25,3.129500
2020-09-27,3.132400
2020-09-28,3.109200
2020-09-29,3.129200
2020-09-30,3.148200
2020-10-09,3.187300
2020-10-10,3.189800
2020-10-12,3.186100
2020-10-13,3.195000
2020-10-14,3.215000
2020-10-15,3.230000
2020-10-16,3.220200
2020-10-19,3.200500
2020-10-20,3.195500
2020-10-21,3.185500
2020-10-22,3.170700
2020-10-23,3.195700
2020-10-26,3.193400
2020-10-27,3.160900
2020-10-28,3.181000
2020-10-29,3.186000
2020-10-30,3.181000
2020-11-02,3.178500
2020-11-03,3.176200
2020-11-04,3.168700
2020-11-05,3.191200
2020-11-06,3.206300
2020-11-09,3.236300
2020-11-10,3.224100
2020-11-11,3.239100
2020-11-12,3.261400
2020-11-13,3.271500
2020-11-16,3.274100
2020-11-17,3.286600
2020-11-18,3.324000
2020-11-19,3.348700
2020-11-20,3.310000
2020-11-23,3.265000
2020-11-24,3.290000
2020-11-25,3.267500
2020-11-26,3.285000
2020-11-27,3.300000
2020-11-30,3.250000
2020-12-01,3.272500
2020-12-02,3.292500
2020-12-03,3.285100
2020-12-04,3.265100
2020-12-07,3.270100
2020-12-08,3.255100
2020-12-09,3.272600
2020-12-10,3.260100
2020-12-11,3.295100
2020-12-14,3.285100
2020-12-15,3.277700
2020-12-16,3.275200
2020-12-17,3.280200
2020-12-18,3.290200
2020-12-21,3.265200
2020-12-22,3.227800
2020-12-23,3.215300
2020-12-24,3.230300
2020-12-25,3.187800
2020-12-28,3.162900
2020-12-29,3.155400
2020-12-30,3.120400
2020-12-31,3.142900
2021-01-04,3.178000
2021-01-05,3.130500
2021-01-06,3.125600
2021-01-07,3.125600
2021-01-08,3.145600
2021-01-11,3.163200
2021-01-12,3.145700
2021-01-13,3.115700
2021-01-14,3.105900
2021-01-15,3.150800
2021-01-18,3.165800
2021-01-19,3.160900
2021-01-20,3.161000
2021-01-21,3.133500
2021-01-22,3.118500
2021-01-25,3.132300
2021-01-26,3.158500
2021-01-27,3.163600
2021-01-28,3.196100
2021-01-29,3.178600
2021-02-01,3.171200
2021-02-02,3.186200
2021-02-03,3.211200
2021-02-04,3.234700
2021-02-05,3.216400
2021-02-07,3.216800
2021-02-08,3.237000
2021-02-09,3.230300
2021-02-10,3.244900
2021-02-18,3.283100
2021-02-19,3.257800
2021-02-20,3.260500
2021-02-22,3.273600
2021-02-23,3.263500
2021-02-24,3.262700
2021-02-25,3.272300
2021-02-26,3.279800
2021-03-01,3.247500
2021-03-02,3.247400
2021-03-03,3.255300
2021-03-04,3.265500
2021-03-05,3.245700
2021-03-08,3.240400
2021-03-09,3.247800
2021-03-10,3.235300
2021-03-11,3.250600
2021-03-12,3.261300
2021-03-15,3.274000
2021-03-16,3.261400
2021-03-17,3.256400
2021-03-18,3.259200
2021-03-19,3.236400
2021-03-22,3.230900
2021-03-23,3.210500
2021-03-24,3.193000
2021-03-25,3.188200
2021-03-26,3.198500
2021-03-29,3.196200
2021-03-30,3.206000
2021-03-31,3.188700
2021-04-01,3.196000
2021-04-02,3.201300
2021-04-06,3.208700
2021-04-07,3.221500
2021-04-08,3.222100
2021-04-09,3.212100
2021-04-12,3.194800
2021-04-13,3.162600
2021-04-14,3.165100
2021-04-15,3.172800
2021-04-16,3.163100
2021-04-19,3.155900
2021-04-20,3.155400
2021-04-21,3.153000
2021-04-22,3.161400
2021-04-23,3.171900
2021-04-25,3.184100
2021-04-26,3.202400
2021-04-27,3.207800
2021-04-28,3.197900
2021-04-29,3.187200
2021-04-30,3.164000
2021-05-06,3.150700
2021-05-07,3.158900
2021-05-08,3.158200
2021-05-10,3.146000
2021-05-11,3.138000
2021-05-12,3.131000
2021-05-13,3.136600
2021-05-14,3.142200
2021-05-17,3.152400
2021-05-18,3.145700
2021-05-19,3.129800
2021-05-20,3.100100
2021-05-21,3.087600
2021-05-24,3.085000
2021-05-25,3.085000
2021-05-26,3.060000
2021-05-27,3.072500
2021-05-28,3.082500
2021-05-31,3.045000
2021-06-01,3.040000
2021-06-02,3.065000
2021-06-03,3.055000
2021-06-04,3.092500
2021-06-07,3.110000
2021-06-08,3.110000
2021-06-09,3.105100
2021-06-10,3.100000
2021-06-11,3.127600
2021-06-15,3.117600
2021-06-16,3.130100
2021-06-17,3.140100
2021-06-18,3.120200
2021-06-21,3.095300
2021-06-22,3.087700
2021-06-23,3.085300
2021-06-24,3.082800
2021-06-25,3.082700
2021-06-28,3.090300
2021-06-29,3.085300
2021-06-30,3.077800
2021-07-01,3.087800
2021-07-02,3.080300
2021-07-05,3.075400
2021-07-06,3.085400
2021-07-07,3.055400
2021-07-08,2.983000
2021-07-09,3.010500
2021-07-12,2.943100
2021-07-13,2.925600
2021-07-14,2.935600
2021-07-15,2.955700
2021-07-16,2.943200
2021-07-19,2.948300
2021-07-20,2.925800
2021-07-21,2.918400
2021-07-22,2.928400
2021-07-23,2.913400
2021-07-26,2.871100
2021-07-27,2.911000
2021-07-28,2.931200
2021-07-29,2.884000
2021-07-30,2.836300
2021-08-02,2.821200
2021-08-03,2.833700
2021-08-04,2.833800
2021-08-05,2.798800
2021-08-06,2.813900
2021-08-09,2.861500
2021-08-10,2.876600
2021-08-11,2.884100
2021-08-12,2.856600
2021-08-13,2.879200
2021-08-16,2.894300
2021-08-17,2.881900
2021-08-18,2.849400
2021-08-19,2.839500
2021-08-20,2.852000
2021-08-23,2.867200
2021-08-24,2.852200
2021-08-25,2.854700
2021-08-26,2.884800
2021-08-27,2.869800
2021-08-30,2.850500
2021-08-31,2.845000
2021-09-01,2.822600
2021-09-02,2.830100
2021-09-03,2.832700
2021-09-06,2.835400
2021-09-07,2.860400
2021-09-08,2.870500
2021-09-09,2.873000
2021-09-10,2.865600
2021-09-13,2.890800
2021-09-14,2.885800
2021-09-15,2.900900
2021-09-16,2.888500
2021-09-17,2.878500
2021-09-18,2.871700
2021-09-22,2.863900
2021-09-23,2.856500
2021-09-24,2.871900
2021-09-26,2.879700
2021-09-27,2.882500
