日期,index_net
2016-04-20,120.647000
2016-04-21,120.575800
2016-04-22,120.256900
2016-04-25,119.832700
2016-04-26,119.922600
2016-04-27,120.020800
2016-04-28,120.117700
2016-04-29,120.107800
2016-05-03,120.126700
2016-05-04,120.038700
2016-05-05,120.010400
2016-05-06,120.005100
2016-05-09,120.131000
2016-05-10,120.118600
2016-05-11,120.125800
2016-05-12,120.188600
2016-05-13,120.186100
2016-05-16,120.058300
2016-05-17,120.019900
2016-05-18,119.897800
2016-05-19,119.839200
2016-05-20,119.817700
2016-05-23,119.759700
2016-05-24,119.829300
2016-05-25,119.809400
2016-05-26,119.783600
2016-05-27,119.747400
2016-05-30,119.675600
2016-05-31,119.642200
2016-06-01,119.595000
2016-06-02,119.524700
2016-06-03,119.491000
2016-06-06,119.567100
2016-06-07,119.559500
2016-06-08,119.531200
2016-06-12,119.521100
2016-06-13,119.557100
2016-06-14,119.721400
2016-06-15,119.780000
2016-06-16,119.883700
2016-06-17,119.907400
2016-06-20,119.890300
2016-06-21,119.874500
2016-06-22,119.959900
2016-06-23,119.936200
2016-06-24,119.885100
2016-06-27,120.013900
2016-06-28,120.016700
2016-06-29,119.985900
2016-06-30,120.033000
2016-07-01,120.189100
2016-07-04,120.177600
2016-07-05,120.124200
2016-07-06,120.168800
2016-07-07,120.287400
2016-07-08,120.327400
2016-07-11,120.380200
2016-07-12,120.331400
2016-07-13,120.237000
2016-07-14,120.251200
2016-07-15,120.267000
2016-07-18,120.298800
2016-07-19,120.333900
2016-07-20,120.582700
2016-07-21,120.880200
2016-07-22,120.804800
2016-07-25,120.709500
2016-07-26,120.756700
2016-07-27,120.844600
2016-07-28,120.896200
2016-07-29,120.985700
2016-08-01,120.999300
2016-08-02,121.019600
2016-08-03,121.048700
2016-08-04,121.071300
2016-08-05,121.186300
2016-08-08,121.275300
2016-08-09,121.510100
2016-08-10,121.646800
2016-08-11,121.707500
2016-08-12,121.884900
2016-08-15,122.082400
2016-08-16,122.047900
2016-08-17,121.921300
2016-08-18,121.900700
2016-08-19,121.744000
2016-08-22,121.774100
2016-08-23,121.538500
2016-08-24,121.404100
2016-08-25,121.427400
2016-08-26,121.501200
2016-08-29,121.437900
2016-08-30,121.215500
2016-08-31,121.281100
2016-09-01,121.240300
2016-09-02,121.274400
2016-09-05,121.219200
2016-09-06,121.201900
2016-09-07,121.151200
2016-09-08,121.199000
2016-09-09,121.269800
2016-09-12,121.163700
2016-09-13,121.239500
2016-09-14,121.286100
2016-09-18,121.300300
2016-09-19,121.321600
2016-09-20,121.375000
2016-09-21,121.384000
2016-09-22,121.443800
2016-09-23,121.600000
2016-09-26,121.662100
2016-09-27,121.651700
2016-09-28,121.638500
2016-09-29,121.651700
2016-09-30,121.689500
2016-10-08,121.737700
2016-10-09,121.869900
2016-10-10,121.929400
2016-10-11,121.922200
2016-10-12,121.857600
2016-10-13,121.872100
2016-10-14,121.979400
2016-10-17,122.061800
2016-10-18,122.089300
2016-10-19,122.248200
2016-10-20,122.410000
2016-10-21,122.580100
2016-10-24,122.519400
2016-10-25,122.455000
2016-10-26,122.218900
2016-10-27,122.200400
2016-10-28,122.199100
2016-10-31,122.086700
2016-11-01,122.026800
2016-11-02,122.006500
2016-11-03,122.044900
2016-11-04,122.026300
2016-11-07,121.821300
2016-11-08,121.695400
2016-11-09,121.699000
2016-11-10,121.552400
2016-11-11,121.439100
2016-11-14,121.041500
2016-11-15,120.847000
2016-11-16,120.757700
2016-11-17,120.485900
2016-11-18,120.543900
2016-11-21,120.511900
2016-11-22,120.573900
2016-11-23,120.720600
2016-11-24,120.769800
2016-11-25,120.715100
2016-11-28,120.837400
2016-11-29,120.491100
2016-11-30,120.220700
2016-12-01,119.766200
2016-12-02,119.692400
2016-12-05,119.547500
2016-12-06,118.898200
2016-12-07,119.037900
2016-12-08,119.129900
2016-12-09,119.119200
2016-12-12,118.728500
2016-12-13,118.351600
2016-12-14,118.099700
2016-12-15,116.958800
2016-12-16,116.981200
2016-12-19,116.548800
2016-12-20,116.385400
2016-12-21,116.711800
2016-12-22,117.244000
2016-12-23,117.547300
2016-12-26,117.817200
2016-12-27,117.796900
2016-12-28,117.924900
2016-12-29,118.381700
2016-12-30,118.712800
2016-12-31,118.718000
2017-01-03,118.360100
2017-01-04,118.122900
2017-01-05,117.919600
2017-01-06,117.985900
